X1   X2  X3  X4  species
47   99  26  15  1
42   93  26  16  1
40   90  22  13  1
46  100  22  11  1
46   96  24  16  1
42   88  26  15  1
43   89  23  14  1
44   78  23  13  1
44   90  25  11  1
47   99  27  15  1
47   92  27  13  1
78  165  35  18  2
77  165  37  19  2
65  148  30  20  2
74  163  31  15  2
65  169  31  16  2
70  176  34  23  2
69  161  28  13  2
67  178  31  14  2
65  174  34  18  2
64  168  28  13  2
68  166  32  15  2
42   81  15  8.0  3
48   83  18  8.6  3
45   87  18  9.0  3
48   83  17  8.0  3
46   84  16  6.1  3
51   87  21  7.9  3
46   80  17  7.0  3
50   90  18  8.1  3
46   85  16  6.5  3
48   85  15  7.2  3
47   85  17  8.0  3
49   83  18  7.7  3
43   79  15  7.1  3
47   87  19  7.5  3
46   87  18  8.0  3
60  114  27  20  4
60  118  31  19  4
60  111  31  21  4
58  102  30  20  4
55  116  28  20  4
59  117  29  17  4
59  114  24  17  4
60  121  25  19  4
58  129  26  16  5
52  126  27  18  5
50  122  28  22  5
52  123  29  18  5
60  138  33  17  5
61  122  28  17  5
54  132  30  17  5
65  131  32  18  5
55  130  32  17  5
64  125  26  16  5
56  124  28  16  5
45   91  16  7.5  6
46   93  17  6.5  6
48   92  19  5.0  6
46   91  19  6.0  6
45   86  15  6.5  6
51   93  19  7.5  6
47   92  16  5.0  6
48   89  18  6.5  6
47   91  17.5  6.0  6
50   91  17  7.2  6
48   91  19  7.6  6
49   93  17.5  7.0  6
49   87  17  6.5  6
49   91  19  7.7  6
37   88  17  3.9  7
43   79  14  4.0  7
43   84  19  4.2  7
42   80  17  5.2  7
39   83  12  4.5  7
39   87  15  4.5  7
40   86  18  4.5  7
34   77  16  4.8  7
35   82  15  4.6  7
45   88  17  4.9  7
33   80  15  3.9  7
42   85  13  4.0  7
